Cep,Rua,Bairro,Lat,Lng
58400784,Rua Firmino Alves Sobrinho,Monte Santo,-149827939,-3992722680000000
58400786,Rua Tenente Harllando Rocha do Nascimento,Monte Santo,Nan,Nan
58400802,Rua Cônego Pequeno,Monte Santo,-72192335,-359009865
58400804,Rua Conde D'Eu,Monte Santo,-236437994,-4669342229999990
58400805,Travessa Conde D'Eu,Monte Santo,-216765831,-49759392
58400806,Travessa Tomaz Santa Rosa,Monte Santo,-72124001,-358998294
58400808,Rua Líbia Cardoso Silva,Monte Santo,-7214469900000000,-359010989
58400810,Rua Natanael Belo,Monte Santo,-72144979,-359016135
58400813,Rua Sargento Hermes Ferreira Ramos,Monte Santo,-7215732399999990,-359000996
58400815,Rua Otacílio Colaço da Costa,Monte Santo,Nan,Nan
58400818,Rua Naná de Oliveira Pimentel,Monte Santo,-7214649000000000,-359026618
58400820,Travessa Silva Barbosa,Monte Santo,-72141533,-359033851
58400823,Rua Joaquim Firmino Araújo,Monte Santo,-7214603899999990,-359031112
58400825,Rua Silva Barbosa,Monte Santo,-72161117,-35904399
58400828,Rua Pedro de Farias,Monte Santo,-72449416,-358926445
58400848,Rua Maurício Arruda Figueiredo,Monte Santo,Nan,Nan
58400850,Rua Professora Lenier Sucupira Meira de Almeida,Monte Santo,-7211123000000000,-359075333
58400970,Praça da Bandeira 71 Entrada Principal,Centro,-7219338400000000,-3588515599999990
58400971,Praça da Bandeira 71,Centro,-7219338400000000,-3588515599999990
58400972,Praça da Bandeira 71 1º Andar,Centro,-7219338400000000,-3588515599999990
58400976,Rua Antenor Navarro 233,Prata,-7222199699999990,-358947546
58400990,Sítio Marinho,,Nan,Nan
58401000,Rua Manoel Leite Cavalcante,Palmeira,-71986848,-358959945
58401005,Rua Jeremias Sérgio de Almeida,Palmeira,-71995812,-358944415
58401010,Rua Manoel Barbosa de Lima,Palmeira,-7197856899999990,-358945764
58401040,Rua Dagoberto Renato Damião de Araújo,Palmeira,-72056527,-358937254
58401042,Travessa Quinze de Novembro,Palmeira,Nan,Nan
58401045,Travessa Cristiano Palmeira,Palmeira,-7207488000000000,-35892321
58401047,Rua Belarmino Timóteo de Souza,Palmeira,-72061877,-358924276
58401049,Travessa Belarmino Timóteo de Souza,Palmeira,-72061877,-358924276
58401053,Rua Francisco Mendonça Oliveira,Palmeira,-72067937,-358919738
58401055,Rua Euclides Severiano,Palmeira,-72068401,-358911236
58401060,Rua Maximiano Chaves,Palmeira,-7207097500000000,-358917497
58401061,Travessa Maximiano Chaves,Palmeira,-7207097500000000,-358917497
58401063,Rua Cristiano Palmeira,Palmeira,-7207488000000000,-35892321
58401066,Rua Manoel Félix,Palmeira,-23123439,-464805982
58401070,Rua Evaristo Pereira da Costa,Palmeira,-72085146,-358892142
58401075,Rua Quinze de Novembro,Palmeira,-254263762,-4925750670000000
58401078,Rua Conde do Bonfim,Palmeira,-198611178,-440220877
58401080,Rua João Herculano Diniz,Palmeira,-7206151500000000,-358947009
58401082,Travessa Capitão Manoel do Ó,Palmeira,-7206722699999990,-358947508
58401085,Rua Capitão Manoel do Ó,Palmeira,-7206722699999990,-358947508
58401087,Rua São João,Palmeira,-195799697,-426457709
58401090,Rua Professor Balbino,Palmeira,-72077527,-358962771
58401093,Rua Ana de Azevedo,Palmeira,-72100268,-358945235
58401095,Avenida Ana de Azevedo,Palmeira,-72100268,-358945235
58401100,Rua Francisco Maria de Oliveira,Palmeira,-72087751,-358952052
58401105,Rua Sinhazinha de Oliveira,Palmeira,-72115004,-35896706
58401110,Rua Francisco Assis de Oliveira,Palmeira,-188844544,-482820574
58401115,Rua Vereador Manoel Uchôa,Palmeira,-7209656499999990,-358943372
58401120,Rua Olegário Maciel,Palmeira,-217648607,-43353901
58401125,Rua Monte Santo,Palmeira,-228387987,-433166641
58401130,Rua João Suassuna,Palmeira,-72122617,-35896333
58401135,Rua Ouro Branco,Palmeira,-235717048,-466625772
58401145,Rua José Lins do Rego,Palmeira,-234423318,-465113322
58401150,Rua Desembargador Arquimedes Souto Maior,Palmeira,-7211446500000000,-358936247
58401160,Rua Desembargador Azevedo,Palmeira,-7209898900000000,-358926755
58401162,Travessa Desembargador Azevedo,Palmeira,-7209898900000000,-358926755
58401170,Rua Quintino Bocaiúva,Palmeira,-235498801,-466350802
58401180,Rua Ouro Branco,Palmeira,-235717048,-466625772
58401186,Rua Antenor Navarro,Palmeira,-72178552,-35893437
58401190,Rua Siqueira Campos,Palmeira,-235577468,-496813324
58401213,Rua Quinze de Novembro,Conceição,-254263762,-4925750670000000
58401216,Rua Evaristo Pereira da Costa,Conceição,-72085146,-358892142
58401218,Travessa São Jacinto,Conceição,-7207985400000000,-358877695
58401220,Rua São Jacinto,Conceição,-228936587,-435807341
58401222,Travessa Francisco Afonso de Albuquerque,Conceição,-72086011,-358870209
58401225,Rua Francisco Afonso de Albuquerque,Conceição,-72086011,-358870209
58401227,Travessa Severino Verônica,Conceição,-7207473,-358869542
58401230,1ª Travessa Francisco Afonso de Albuquerque,Conceição,-7208901000000000,-358872904
58401233,2ª Travessa Francisco Afonso de Albuquerque,Conceição,-7208958,-35887357
58401236,Rua Henrique Dias,Conceição,-3003307749999990,-512109284
58401260,Rua Siqueira Campos,Conceição,-235577468,-496813324
58401262,Rua Doutor José Gondim,Conceição,-7209881200000000,-358867455
58401265,Rua Presidente Epitácio Pessoa,Conceição,-263308671,-488419049
58401273,Rua Pedro Marreco,Conceição,-72136745,-35887957
58401276,Rua Raimundo Alves da Silva,Conceição,-7214639399999990,-358856608
58401279,Rua São Francisco de Assis,Conceição,-234891591,-467416566
58401282,Rua João da Silva Pimentel,Conceição,-72130686,-358877797
58401285,Rua Tavares Candeia,Conceição,-72112127,-358867263
58401288,Rua Índio Piragibe,Conceição,-7123047,-348892795
58401290,Rua Manoel Sérgio de Oliveira,Conceição,-72127957,-358868266
58401294,Rua Frei Martinho,Conceição,-229819638,-435031592
58401296,Rua José P. Soares,Conceição,Nan,Nan
58401300,Rua Professor Mauro Luna,Conceição,-72131395,-358862197
58401308,Rua Domingos Sarmento,Conceição,-7213460700000000,-358856391
58401311,Rua Vigolvino Wanderley,Conceição,-7213883600000000,-358849458
58401314,Rua Severino Verônica,Conceição,-7207473,-358869542
58401317,Rua Francisco de Souza Costa,Conceição,-222656382,-461587746
58401320,Rua João Uchôa,Conceição,-7209084499999990,-358863704
58401323,Rua Sônia Ribeiro,Conceição,-23631322,-466731388
58401325,Rua Ubiratan de Morais,Conceição,Nan,Nan
58401328,Rua Franklin Araújo,Conceição,-7209083999999990,-358817736
58401332,Rua Monteiro Lobato,Conceição,-300535476,-511966282
58401335,Rua José do Ó,Conceição,-7210930899999990,-358810669
58401338,Rua Manoel Elias de Castro,Conceição,-72027714,-358825859
58401340,Rua Professora Luíza de Castro Lago,Conceição,-7211244499999990,-358829025
58401344,Rua Vereador Benedito Mota,Conceição,-72031083,-358815016
58401347,Rua Doutor Vasconcelos,Conceição,-7204834900000000,-358809103
58401360,Rua Doutor Vasconcelos,Lauritzen,-7204834900000000,-358809103
58401363,Rua Redentor,Lauritzen,-229823998,-4320911359999990
58401366,Rua Pombal,Lauritzen,-235473074,-466783516
58401369,Avenida Cajazeiras,Lauritzen,-7106002399999990,-348291938
58401372,Rua Napoleão Laureano,Lauritzen,-23953437,-463478163
58401375,Travessa Agrimensor José de Brito,Lauritzen,-7213465599999990,-35880725
58401378,Rua Governador Agamenon Magalhães,Lauritzen,-254356,-492300095
58401384,Rua Estelita Cruz,Lauritzen,-7210484000000000,-35879954
58401387,Avenida Janúncio Ferreira,Lauritzen,-7215724,-358796017
58401390,Rua Arnaldo de Albuquerque,Lauritzen,-7209087899999990,-358783381
58401393,Rua Clayton Ismael,Lauritzen,Nan,Nan
58401396,Rua Agrimensor José de Brito,Lauritzen,-7213465599999990,-35880725
58401399,Rua Antônio Campos,Lauritzen,397441462,-8802676
58401402,Avenida Manoel Tavares,Lauritzen,-7207237199999990,-358753835
58401405,Rua Luíza Soares,Lauritzen,-7212534300000000,-358780211
58401408,Rua Professora Luíza de Castro Lago,Lauritzen,-7211244499999990,-358829025
58401411,Rua José do Ó,Lauritzen,-7210930899999990,-358810669
58401414,Rua Félix Carolino Barbosa,Lauritzen,-7208189199999990,-358768785
58401417,Rua Monteiro Lobato,Lauritzen,-300535476,-511966282
58401420,Rua Franklin Araújo,Lauritzen,-7209083999999990,-358817736
58401430,Rua Franklin Araújo,Alto Branco,-7209083999999990,-358817736
58401432,Travessa Franklin Araújo,Alto Branco,-7209083999999990,-358817736
58401438,Rua Napoleão Laureano,Alto Branco,-23953437,-463478163
58401448,Travessa General Newton Estilac Leal,Alto Branco,-235319185,-468055852
58401450,Rua Doutor Vasconcelos,Alto Branco,-7204834900000000,-358809103
58401454,Rua Governador Agamenon Magalhães,Alto Branco,-254356,-492300095
58401462,Rua Deputado Norberto Leal,Alto Branco,-72077089,-358802096
58401464,Travessa Norberto Leal,Alto Branco,-72077089,-358802096
